GARA;ARTILERIEI;CAO;STEAUA;METALURGIC;VALCEA;LPS;HELIOS;PARC HOTEL;CATEDRALA;CATEDRALA;SPITAL;ACR;ROMTELECOM;VALCEA;METALURGIC;STEAUA;KAUFLAND;GARA;
05:30;05:31;05:33;05:34;05:35;05:37;05:39;05:41;05:43;05:46;05:55;05:58;05:59;06:00;06:02;06:03;06:04;06:06;06:08;
07:10;07:11;07:13;07:14;07:15;07:17;07:19;07:21;07:23;07:26;07:35;07:38;07:39;07:40;07:42;07:43;07:44;07:46;07:48;
08:00;08:01;08:03;08:04;08:05;08:07;08:09;08:11;08:13;08:16;08:25;08:28;08:29;08:30;08:32;08:33;08:34;08:36;08:38;
08:50;08:51;08:53;08:54;08:55;08:57;08:59;09:01;09:03;09:06;09:15;09:18;09:19;09:20;09:22;09:23;09:24;09:26;09:28;
09:40;09:41;09:43;09:44;09:45;09:47;09:49;09:51;09:53;09:56;10:05;10:08;10:09;10:10;10:12;10:13;10:14;10:16;10:18;
11:05;11:06;11:08;11:09;11:10;11:12;11:14;11:16;11:18;11:21;11:30;11:33;11:34;11:35;11:37;11:38;11:39;11:41;11:43;
11:55;11:56;11:58;11:59;12:00;12:02;12:04;12:06;12:08;12:11;12:20;12:23;12:24;12:25;12:27;12:28;12:29;12:31;12:33;
12:45;12:46;12:48;12:49;12:50;12:52;12:54;12:56;12:58;13:01;13:10;13:13;13:14;13:15;13:17;13:18;13:19;13:21;13:23;
13:35;13:36;13:38;13:39;13:40;13:42;13:44;13:46;13:48;13:51;14:00;14:03;14:04;14:05;14:07;14:08;14:09;14:11;14:13;
15:05;15:06;15:08;15:09;15:10;15:12;15:14;15:16;15:18;15:21;15:30;15:33;15:34;15:35;15:37;15:38;15:39;15:41;15:43;
15:55;15:56;15:58;15:59;16:00;16:02;16:04;16:06;16:08;16:11;16:20;16:23;16:24;16:25;16:27;16:28;16:29;16:31;16:33;
16:45;16:46;16:48;16:49;16:50;16:52;16:54;16:56;16:58;17:01;17:10;17:13;17:14;17:15;17:17;17:18;17:19;17:21;17:23;
17:35;17:36;17:38;17:39;17:40;17:42;17:44;17:46;17:48;17:51;18:00;18:03;18:04;18:05;18:07;18:08;18:09;18:11;18:13;
18:25;18:26;18:28;18:29;18:30;18:32;18:34;18:36;18:38;18:41;18:50;18:53;18:54;18:55;18:57;18:58;18:59;19:01;19:03;
19:15;19:16;19:18;19:19;19:20;19:22;19:24;19:26;19:28;19:31;19:40;19:43;19:44;19:45;19:47;19:48;19:49;19:51;19:53;
20:05;20:06;20:08;20:09;20:10;20:12;20:14;20:16;20:18;20:21;20:30;20:33;20:34;20:35;20:37;20:38;20:39;20:41;20:43;
